M,lambda,trial,S_approx,S_ref,abs_err,rel_err,N_terms
2048,4.0,4,0.35354839717737097,0.3535483973868968,2.095258411216605e-10,5.92636942128099e-10,4194304
2048,6.0,0,0.353541443390617,0.3535414435124251,1.2180811914674905e-10,3.4453703061397423e-10,4194304
2048,6.0,1,0.3535414433521888,0.3535414435124251,1.6023632420925082e-10,4.5323208113115983e-10,4194304
2048,6.0,2,0.353541443522704,0.3535414435124251,1.027888885118955e-11,2.9074070493883416e-11,4194304
2048,6.0,3,0.3535414435948545,0.3535414435124251,8.242939664171445e-11,2.3315341992944454e-10,4194304
2048,6.0,4,0.35354144350439176,0.3535414435124251,8.033351761582708e-12,2.2722517851857946e-11,4194304
2048,8.0,0,0.3535320108123273,0.3535320109973201,1.8499279885730857e-10,5.232702926545197e-10,4194304
2048,8.0,1,0.35353201103884474,0.3535320109973201,4.1524617078181336e-11,1.1745645595441175e-10,4194304
2048,8.0,2,0.35353201106086585,0.3535320109973201,6.354572423816762e-11,1.7974531940941924e-10,4194304
2048,8.0,3,0.353532010813252,0.3535320109973201,1.840681496112495e-10,5.206548314875079e-10,4194304
2048,8.0,4,0.35353201117512445,0.3535320109973201,1.778043268174656e-10,5.029369937841736e-10,4194304
3072,2.0,0,0.3535530424018931,0.3535530432530079,8.511147897571902e-10,2.40731852263571e-09,9437184
3072,2.0,1,0.353553042871957,0.3535530432530079,3.810509130452999e-10,1.077775797202272e-09,9437184
3072,2.0,2,0.3535530436324133,0.3535530432530079,3.7940539598935175e-10,1.0731215675545564e-09,9437184
3072,2.0,3,0.35355304216696093,0.3535530432530079,1.0860469745743728e-09,3.071807739460416e-09,9437184
3072,2.0,4,0.35355304300611945,0.3535530432530079,2.4688845412512705e-10,6.983066864692491e-10,9437184
3072,3.0,0,0.3535522883022328,0.3535522878781945,4.2403830446957613e-10,1.1993651830522603e-09,9437184
3072,3.0,1,0.35355228872400246,0.3535522878781945,8.458079792106332e-10,2.3923136922310915e-09,9437184
3072,3.0,2,0.3535522885801813,0.3535522878781945,7.019868020208264e-10,1.98552470480031e-09,9437184
3072,3.0,3,0.35355228780958425,0.3535522878781945,6.86102286096002e-11,1.940596368965875e-10,9437184
3072,3.0,4,0.3535522878446854,0.3535522878781945,3.350908439614386e-11,9.477829884016584e-11,9437184
3072,4.0,0,0.35355116908073136,0.35355116829313177,7.875995966521998e-10,2.2276820649598175e-09,9437184
3072,4.0,1,0.35355117001394665,0.35355116829313177,1.7208148794800593e-09,4.867230075317753e-09,9437184
3072,4.0,2,0.35355116832067984,0.35355116829313177,2.7548074932326472e-11,7.791821213693789e-11,9437184
3072,4.0,3,0.35355116709876355,0.35355116829313177,1.194368215440278e-09,3.378204691576691e-09,9437184
3072,4.0,4,0.35355116949390814,0.35355116829313177,1.2007763672272631e-09,3.3963297958378996e-09,9437184
3072,6.0,0,0.35354806994702015,0.3535480701141714,1.6715123729582615e-10,4.727822082067877e-10,9437184
3072,6.0,1,0.35354807015180106,0.3535480701141714,3.762967715204013e-11,1.0643440123966274e-10,9437184
3072,6.0,2,0.3535480699851535,0.3535480701141714,1.2901790746866482e-10,3.649232406416503e-10,9437184
3072,6.0,3,0.35354806953565626,0.3535480701141714,5.78515124693979e-10,1.6363124949519848e-09,9437184
3072,6.0,4,0.35354807027841323,0.3535480701141714,1.642418423486447e-10,4.6455307278471645e-10,9437184
3072,8.0,0,0.3535438627136233,0.3535438630477232,3.340998588896582e-10,9.450025691566302e-10,9437184
3072,8.0,1,0.35354386386404296,0.3535438630477232,8.163197895427743e-10,2.3089632570784666e-09,9437184
3072,8.0,2,0.35354386356854894,0.3535438630477232,5.208257713995579e-10,1.473157437693252e-09,9437184
3072,8.0,3,0.3535438632347933,0.3535438630477232,1.870701371586847e-10,5.291285091078868e-10,9437184
3072,8.0,4,0.3535438634091055,0.3535438630477232,3.613823129633431e-10,1.0221710818229134e-09,9437184
4096,2.0,0,0.3535531935478828,0.35355319456104783,1.0131650518552249e-09,2.865665103417082e-09,16777216
4096,2.0,1,0.35355319516345873,0.35355319456104783,6.024108989421961e-10,1.7038762715469628e-09,16777216
4096,2.0,2,0.3535531957974963,0.35355319456104783,1.236448443631133e-09,3.4972062553875074e-09,16777216
4096,2.0,3,0.3535531955855645,0.35355319456104783,1.0245166381928072e-09,2.897772255925422e-09,16777216
4096,2.0,4,0.353553193988647,0.35355319456104783,5.724008489416121e-10,1.6189949850468004e-09,16777216
4096,3.0,0,0.35355276967103383,0.3535527696387106,3.232325518354173e-11,9.142413229168677e-11,16777216
4096,3.0,1,0.3535527714920026,0.3535527696387106,1.8532920198488512e-09,5.241910625513408e-09,16777216
4096,3.0,2,0.3535527702553215,0.3535527696387106,6.16610928982908e-10,1.744042140054544e-09,16777216
4096,3.0,3,0.3535527689607004,0.3535527696387106,6.780101480252654e-10,1.917705661641718e-09,16777216
4096,3.0,4,0.35355277072914315,0.3535527696387106,1.0904325775662471e-09,3.0842144969774703e-09,16777216
4096,4.0,0,0.3535521397402473,0.35355213949378167,2.4646562568619856e-10,6.971125278412674e-10,16777216
4096,4.0,1,0.3535521411058737,0.35355213949378167,1.612092015434996e-09,4.559700919200207e-09,16777216
4096,4.0,2,0.35355214066479584,0.35355213949378167,1.1710141745169267e-09,3.3121399751493306e-09,16777216
4096,4.0,3,0.35355213794038687,0.35355213949378167,1.5533948016788202e-09,4.393679540174701e-09,16777216
4096,4.0,4,0.35355213943272146,0.35355213949378167,6.106021244178805e-11,1.7270497225448693e-10,16777216
4096,6.0,0,0.35355039398712174,0.3535503947802257,7.931039713859889e-10,2.2432557935029284e-09,16777216
4096,6.0,1,0.3535503949970044,0.3535503947802257,2.1677870609693173e-10,6.131479678637776e-10,16777216
4096,6.0,2,0.3535503955889751,0.3535503947802257,8.087494007824603e-10,2.287508125355639e-09,16777216
4096,6.0,3,0.35355039677187616,0.3535503947802257,1.9916504556682924e-09,5.633285905129151e-09,16777216
4096,6.0,4,0.3535503949742441,0.3535503947802257,1.9401841244715e-10,5.487715904482468e-10,16777216
4096,8.0,0,0.35354802592835544,0.35354802420637776,1.7219776715649004e-09,4.87056228197085e-09,16777216
4096,8.0,1,0.35354802390728296,0.35354802420637776,2.990948044789832e-10,8.459806985214308e-10,16777216
4096,8.0,2,0.35354802197570906,0.35354802420637776,2.2306687053053054e-09,6.309379638912052e-09,16777216
4096,8.0,3,0.3535480253606917,0.35354802420637776,1.154313922224759e-09,3.264942364805714e-09,16777216
4096,8.0,4,0.3535480246073705,0.35354802420637776,4.00992739013617e-10,1.134195955171126e-09,16777216
