M,theta_idx,theta_val,mu_kernel,method,trial,S_approx,S_ref,abs_err,rel_err,N_terms
256,0,0.7853981633974483,clean,sequential,3,-3.609525764294826e-12,-5.699590132866043e-12,2.090064368571217e-12,0.3667043278286094,65536
256,0,0.7853981633974483,clean,kahan,3,-4.7748158509413934e-12,-5.699590132866043e-12,9.247742819246496e-13,0.1622527691231766,65536
256,0,0.7853981633974483,clean,sequential,4,-4.5711402676284855e-12,-5.699590132866043e-12,1.1284498652375577e-12,0.1979878971876379,65536
256,0,0.7853981633974483,clean,kahan,4,-4.969044199654137e-12,-5.699590132866043e-12,7.305459332119062e-13,0.1281751698248082,65536
256,0,0.7853981633974483,clean,sequential,5,-2.799239168287624e-12,-5.699590132866043e-12,2.9003509645784197e-12,0.5088700936325005,65536
256,0,0.7853981633974483,clean,kahan,5,-3.1402996814524717e-12,-5.699590132866043e-12,2.559290451413572e-12,0.4490306130357887,65536
256,0,0.7853981633974483,clean,sequential,6,-4.605756192379478e-12,-5.699590132866043e-12,1.0938339404865653e-12,0.1919144912156218,65536
256,0,0.7853981633974483,clean,kahan,6,-4.918394996113925e-12,-5.699590132866043e-12,7.81195136752118e-13,0.1370616340019687,65536
256,0,0.7853981633974483,clean,sequential,7,-5.687971096220299e-12,-5.699590132866043e-12,1.1619036645744324e-14,0.0020385740684658,65536
256,0,0.7853981633974483,clean,kahan,7,-6.853261182866863e-12,-5.699590132866043e-12,1.15367105000082e-12,0.2024129846369664,65536
256,0,0.7853981633974483,clean,sequential,8,-1.2840870742456405e-12,-5.699590132866043e-12,4.415503058620403e-12,0.7747053657698828,65536
256,0,0.7853981633974483,clean,kahan,8,2.506852349961741e-13,-5.699590132866043e-12,5.950275367862218e-12,1.043983028455086,65536
256,0,0.7853981633974483,clean,sequential,9,-3.749437892970111e-12,-5.699590132866043e-12,1.9501522398959325e-12,0.3421565751983813,65536
256,0,0.7853981633974483,clean,kahan,9,-2.584147806323544e-12,-5.699590132866043e-12,3.115442326542499e-12,0.5466081339038139,65536
256,0,0.7853981633974483,jackson,sequential,0,0.3533362043543485,0.3533362043580717,3.723188424231694e-12,1.0537240108173593e-11,65536
256,0,0.7853981633974483,jackson,kahan,0,0.3533362043544169,0.3533362043580717,3.654798685914784e-12,1.0343685817745989e-11,65536
256,0,0.7853981633974483,jackson,sequential,1,0.3533362043585993,0.3533362043580717,5.275779813018744e-13,1.4931330975843778e-12,65536
256,0,0.7853981633974483,jackson,kahan,1,0.3533362043586411,0.3533362043580717,5.693778781790115e-13,1.6114337312629379e-12,65536
256,0,0.7853981633974483,jackson,sequential,2,0.3533362043670203,0.3533362043580717,8.948619623083687e-12,2.532607616403536e-11,65536
256,0,0.7853981633974483,jackson,kahan,2,0.35333620436689,0.3533362043580717,8.818279439992693e-12,2.4957191850785343e-11,65536
256,0,0.7853981633974483,jackson,sequential,3,0.3533362043605056,0.3533362043580717,2.433941936885731e-12,6.888458943253855e-12,65536
256,0,0.7853981633974483,jackson,kahan,3,0.3533362043604609,0.3533362043580717,2.389199948993337e-12,6.761831704548782e-12,65536
256,0,0.7853981633974483,jackson,sequential,4,0.3533362043592272,0.3533362043580717,1.155520124029863e-12,3.2703134006014738e-12,65536
256,0,0.7853981633974483,jackson,kahan,4,0.3533362043593082,0.3533362043580717,1.2364553825250368e-12,3.499373591708169e-12,65536
256,0,0.7853981633974483,jackson,sequential,5,0.3533362043604888,0.3533362043580717,2.41712205806266e-12,6.84085589942304e-12,65536
256,0,0.7853981633974483,jackson,kahan,5,0.3533362043605803,0.3533362043580717,2.508548924140541e-12,7.0996090782657855e-12,65536
256,0,0.7853981633974483,jackson,sequential,6,0.3533362043596094,0.3533362043580717,1.537714400257073e-12,4.351986525271975e-12,65536
256,0,0.7853981633974483,jackson,kahan,6,0.3533362043596471,0.3533362043580717,1.575350960791866e-12,4.4585042273092436e-12,65536
256,0,0.7853981633974483,jackson,sequential,7,0.3533362043566558,0.3533362043580717,1.4158674233044621e-12,4.007139392570196e-12,65536
256,0,0.7853981633974483,jackson,kahan,7,0.3533362043566959,0.3533362043580717,1.3758438832667252e-12,3.893866143058587e-12,65536
256,0,0.7853981633974483,jackson,sequential,8,0.3533362043635895,0.3533362043580717,5.517808432387028e-12,1.5616312068590822e-11,65536
256,0,0.7853981633974483,jackson,kahan,8,0.3533362043635542,0.3533362043580717,5.482503340203948e-12,1.5516392808272676e-11,65536
256,0,0.7853981633974483,jackson,sequential,9,0.3533362043607518,0.3533362043580717,2.680078381445128e-12,7.58506586188697e-12,65536
256,0,0.7853981633974483,jackson,kahan,9,0.3533362043609383,0.3533362043580717,2.8665958495821538e-12,8.112941199416799e-12,65536
256,0,0.7853981633974483,lorentz,sequential,0,0.3532434326635094,0.3532434326673196,3.810285420513537e-12,1.0786571152200353e-11,65536
256,0,0.7853981633974483,lorentz,kahan,0,0.3532434326635775,0.3532434326673196,3.742173237952784e-12,1.0593751764033832e-11,65536
256,0,0.7853981633974483,lorentz,sequential,1,0.3532434326676515,0.3532434326673196,3.318456620604593e-13,9.394248593801528e-13,65536
256,0,0.7853981633974483,lorentz,kahan,1,0.3532434326677092,0.3532434326673196,3.895772593409674e-13,1.1028577556256129e-12,65536
256,0,0.7853981633974483,lorentz,sequential,2,0.3532434326760682,0.3532434326673196,8.748557434046234e-12,2.4766369661811992e-11,65536
256,0,0.7853981633974483,lorentz,kahan,2,0.3532434326760773,0.3532434326673196,8.757605751696929e-12,2.479198462535816e-11,65536
256,0,0.7853981633974483,lorentz,sequential,3,0.3532434326696113,0.3532434326673196,2.2916113451287856e-12,6.487343098851033e-12,65536
256,0,0.7853981633974483,lorentz,kahan,3,0.3532434326696223,0.3532434326673196,2.302658064223806e-12,6.5186153549595375e-12,65536
256,0,0.7853981633974483,lorentz,sequential,4,0.3532434326683105,0.3532434326673196,9.90818538326721e-13,2.804917081812705e-12,65536
256,0,0.7853981633974483,lorentz,kahan,4,0.3532434326683269,0.3532434326673196,1.0072498390911733e-12,2.8514325984364125e-12,65536
256,0,0.7853981633974483,lorentz,sequential,5,0.3532434326697579,0.3532434326673196,2.438216295530537e-12,6.902368367105128e-12,65536
256,0,0.7853981633974483,lorentz,kahan,5,0.3532434326697752,0.3532434326673196,2.45553577471469e-12,6.951398235978766e-12,65536
256,0,0.7853981633974483,lorentz,sequential,6,0.3532434326687518,0.3532434326673196,1.4321321906152209e-12,4.054235855996749e-12,65536
256,0,0.7853981633974483,lorentz,kahan,6,0.3532434326687879,0.3532434326673196,1.4682699500667697e-12,4.156538563165782e-12,65536
256,0,0.7853981633974483,lorentz,sequential,7,0.3532434326658198,0.3532434326673196,1.4998557951173552e-12,4.245955215053923e-12,65536
256,0,0.7853981633974483,lorentz,kahan,7,0.3532434326658542,0.3532434326673196,1.4654388813539754e-12,4.14852406536913e-12,65536
256,0,0.7853981633974483,lorentz,sequential,8,0.3532434326727404,0.3532434326673196,5.420719428883558e-12,1.5345563222370578e-11,65536
256,0,0.7853981633974483,lorentz,kahan,8,0.3532434326727793,0.3532434326673196,5.45963274589667e-12,1.5455723280320644e-11,65536
256,0,0.7853981633974483,lorentz,sequential,9,0.3532434326700077,0.3532434326673196,2.688071987222429e-12,7.609687084413604e-12,65536
256,0,0.7853981633974483,lorentz,kahan,9,0.353243432670065,0.3532434326673196,2.745359495293087e-12,7.771862804534099e-12,65536
384,0,0.7853981633974483,clean,sequential,0,-3.1175901412354256e-12,-2.104801278897252e-11,1.7930422647737092e-11,0.8518819723033999,147456
384,0,0.7853981633974483,clean,kahan,0,-1.810191507436837e-12,-2.104801278897252e-11,1.923782128153568e-11,0.9139970349892016,147456
384,0,0.7853981633974483,clean,sequential,1,-1.3340602477706771e-11,-2.104801278897252e-11,7.707410311265746e-12,0.3661823274501151,147456
384,0,0.7853981633974483,clean,kahan,1,-1.0271057859223124e-11,-2.104801278897252e-11,1.0776954929749391e-11,0.5120176920167807,147456
384,0,0.7853981633974483,clean,sequential,2,-3.0013168265874527e-11,-2.104801278897252e-11,8.96515547690201e-12,0.4259383328386724,147456
384,0,0.7853981633974483,clean,kahan,2,-2.9615264333848864e-11,-2.104801278897252e-11,8.567251544876347e-12,0.4070337485429933,147456
384,0,0.7853981633974483,clean,sequential,3,-2.5667863387291256e-11,-2.104801278897252e-11,4.61985059831874e-12,0.2194910581173332,147456
384,0,0.7853981633974483,clean,kahan,3,-2.8794251424635717e-11,-2.104801278897252e-11,7.746238635663197e-12,0.3680270775833816,147456
384,0,0.7853981633974483,clean,sequential,4,-2.458199832545061e-11,-2.104801278897252e-11,3.533985536478093e-12,0.1679011492395909,147456
384,0,0.7853981633974483,clean,kahan,4,-2.338828652937363e-11,-2.104801278897252e-11,2.340273740401112e-12,0.1111873963525539,147456
384,0,0.7853981633974483,clean,sequential,5,-7.016648516742932e-12,-2.104801278897252e-11,1.4031364272229584e-11,0.6666360578981073,147456
384,0,0.7853981633974483,clean,kahan,5,-1.1962025957633232e-11,-2.104801278897252e-11,9.085986831339283e-12,0.4316790816518136,147456
384,0,0.7853981633974483,clean,sequential,6,-9.452831445661143e-12,-2.104801278897252e-11,1.1595181343311372e-11,0.5508919753881149,147456
384,0,0.7853981633974483,clean,kahan,6,-1.0248639309712444e-11,-2.104801278897252e-11,1.0799373479260072e-11,0.5130828067967578,147456
384,0,0.7853981633974483,clean,sequential,7,-2.532890466165973e-11,-2.104801278897252e-11,4.280891872687215e-12,0.2033869855367087,147456
384,0,0.7853981633974483,clean,kahan,7,-2.4874157310773264e-11,-2.104801278897252e-11,3.826144521800748e-12,0.1817817463416471,147456
384,0,0.7853981633974483,clean,sequential,8,-1.847747454268709e-11,-2.104801278897252e-11,2.570538246285422e-12,0.1221273605284095,147456
384,0,0.7853981633974483,clean,kahan,8,-1.9159595569016778e-11,-2.104801278897252e-11,1.888417219955736e-12,0.0897195017358178,147456
384,0,0.7853981633974483,clean,sequential,9,-8.74699299111355e-12,-2.104801278897252e-11,1.2301019797858969e-11,0.5844266592380504,147456
384,0,0.7853981633974483,clean,kahan,9,-1.3464996756560599e-11,-2.104801278897252e-11,7.583016032411918e-12,0.3602723025892884,147456
384,0,0.7853981633974483,jackson,sequential,0,0.3534574919710544,0.353457491956862,1.4192425012993226e-11,4.015313110048704e-11,147456
384,0,0.7853981633974483,jackson,kahan,0,0.3534574919711532,0.353457491956862,1.4291179351033634e-11,4.0432526332693516e-11,147456
384,0,0.7853981633974483,jackson,sequential,1,0.3534574919683312,0.353457491956862,1.1469214467041413e-11,3.244863874166e-11,147456
384,0,0.7853981633974483,jackson,kahan,1,0.3534574919686398,0.353457491956862,1.1777745445584742e-11,3.332153289601841e-11,147456
