M,mu_kernel,method,trial,abs_err,rel_err,S_approx,S_ref,N_terms
2048,clean,sequential_f32,4,1.4374999990797386,1562056059.1597788,-1.4375,-9.202614660660526e-10,4194304
2048,clean,sequential_f32,5,1.4374999990797386,1562056059.1597788,-1.4375,-9.202614660660526e-10,4194304
2048,clean,sequential_f32,6,1.4374999990797386,1562056059.1597788,-1.4375,-9.202614660660526e-10,4194304
2048,clean,sequential_f32,7,1.4374999990797386,1562056059.1597788,-1.4375,-9.202614660660526e-10,4194304
2048,clean,sequential_f32,8,1.4374999990797386,1562056059.1597788,-1.4375,-9.202614660660526e-10,4194304
2048,clean,sequential_f32,9,1.4374999990797386,1562056059.1597788,-1.4375,-9.202614660660526e-10,4194304
64,lorentz,kahan_f32,0,1.7742882165716622e-06,5.080873863384225e-06,0.34921103715896606,0.3492092628707495,4096
64,lorentz,kahan_f32,1,1.8338928613470529e-06,5.251558467467742e-06,0.34921109676361084,0.3492092628707495,4096
64,lorentz,kahan_f32,2,1.8338928613470529e-06,5.251558467467742e-06,0.34921109676361084,0.3492092628707495,4096
64,lorentz,kahan_f32,3,1.8338928613470529e-06,5.251558467467742e-06,0.34921109676361084,0.3492092628707495,4096
64,lorentz,kahan_f32,4,1.8338928613470529e-06,5.251558467467742e-06,0.34921109676361084,0.3492092628707495,4096
64,lorentz,kahan_f32,5,1.7742882165716622e-06,5.080873863384225e-06,0.34921103715896606,0.3492092628707495,4096
64,lorentz,kahan_f32,6,1.7742882165716622e-06,5.080873863384225e-06,0.34921103715896606,0.3492092628707495,4096
64,lorentz,kahan_f32,7,1.7742882165716622e-06,5.080873863384225e-06,0.34921103715896606,0.3492092628707495,4096
64,lorentz,kahan_f32,8,1.7742882165716622e-06,5.080873863384225e-06,0.34921103715896606,0.3492092628707495,4096
64,lorentz,kahan_f32,9,1.8338928613470529e-06,5.251558467467742e-06,0.34921109676361084,0.3492092628707495,4096
128,lorentz,kahan_f32,0,9.040152951222957e-07,2.565592678455551e-06,0.35236209630966187,0.35236119229436674,16384
128,lorentz,kahan_f32,1,4.9659021283954274e-08,1.4093215248990456e-07,0.35236114263534546,0.35236119229436674,16384
128,lorentz,kahan_f32,2,9.040152951222957e-07,2.565592678455551e-06,0.35236209630966187,0.35236119229436674,16384
